CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100),age_label,score_label,income_label,genre_label
9,Male,64,19,3,中老年,低分,低收入,
11,Male,67,19,14,老年,低分,低收入,
13,Female,58,20,15,中老年,低分,低收入,
19,Male,52,23,29,中老年,中低分,低收入,
23,Female,46,25,5,中年,低分,低收入,
25,Female,54,28,14,中老年,低分,低收入,
27,Female,45,28,32,中年,中低分,低收入,
31,Male,60,30,4,中老年,低分,低收入,
33,Male,53,33,4,中老年,低分,低收入,
35,Female,49,33,14,中年,低分,低收入,
37,Female,42,34,17,中年,低分,低收入,
41,Female,65,38,35,中老年,中低分,低收入,
43,Male,48,39,36,中年,中低分,低收入,
45,Female,49,39,28,中年,中低分,低收入,
47,Female,50,40,55,中年,合格,低收入,
51,Female,49,42,52,中年,合格,低收入,
54,Male,59,43,60,中老年,良好,低收入,
55,Female,50,43,45,中年,合格,低收入,
56,Male,47,43,41,中年,合格,低收入,
57,Female,51,44,50,中老年,合格,低收入,
58,Male,69,44,46,老年,合格,低收入,
60,Male,53,46,46,中老年,合格,低收入,
61,Male,70,46,56,老年,合格,低收入,
63,Female,67,47,52,老年,合格,低收入,
64,Female,54,47,59,中老年,合格,低收入,
65,Male,63,48,51,中老年,合格,低收入,
67,Female,43,48,50,中年,合格,低收入,
68,Female,68,48,48,老年,合格,低收入,
71,Male,70,49,55,老年,合格,低收入,
72,Female,47,49,42,中年,合格,低收入,
73,Female,60,50,49,中老年,合格,低收入,
74,Female,60,50,56,中老年,合格,低收入,
75,Male,59,54,47,中老年,合格,低收入,
77,Female,45,54,53,中年,合格,低收入,
78,Male,40,54,48,中年,合格,低收入,
80,Female,49,54,42,中年,合格,低收入,
81,Male,57,54,51,中老年,合格,低收入,
83,Male,67,54,41,老年,合格,低收入,
84,Female,46,54,44,中年,合格,低收入,
86,Male,48,54,46,中年,合格,低收入,
87,Female,55,57,58,中老年,合格,中等收入,
90,Female,50,58,46,中年,合格,中等收入,
91,Female,68,59,55,老年,合格,中等收入,
93,Male,48,60,49,中年,合格,中等收入,
94,Female,40,60,40,中年,中低分,中等收入,
97,Female,47,60,47,中年,合格,中等收入,
99,Male,48,61,42,中年,合格,中等收入,
102,Female,49,62,48,中年,合格,中等收入,
103,Male,67,62,59,老年,合格,中等收入,
105,Male,49,62,56,中年,合格,中等收入,
107,Female,66,63,50,老年,合格,中等收入,
108,Male,54,63,46,中老年,合格,中等收入,
109,Male,68,63,43,老年,合格,中等收入,
110,Male,66,63,48,老年,合格,中等收入,
111,Male,65,63,52,中老年,合格,中等收入,
113,Female,38,64,42,中年,合格,中等收入,
117,Female,63,65,43,中老年,合格,中等收入,
118,Female,49,65,59,中年,合格,中等收入,
119,Female,51,67,43,中老年,合格,中等收入,
120,Female,50,67,57,中年,合格,中等收入,
122,Female,38,67,40,中年,中低分,中等收入,
127,Male,43,71,35,中年,中低分,中等收入,
129,Male,59,71,11,中老年,低分,中等收入,
131,Male,47,71,9,中年,低分,中等收入,
137,Female,44,73,7,中年,低分,中等收入,
141,Female,57,75,5,中老年,低分,中等收入,
147,Male,48,77,36,中年,中低分,中等收入,
149,Female,34,78,22,中年,中低分,中等收入,
151,Male,43,78,17,中年,低分,中等收入,
153,Female,44,78,20,中年,低分,中等收入,
155,Female,47,78,16,中年,低分,中等收入,
157,Male,37,78,1,中年,低分,中等收入,
159,Male,34,78,1,中年,低分,中等收入,
161,Female,56,79,35,中老年,中低分,中等收入,
165,Male,50,85,26,中年,中低分,中等收入,
167,Male,42,86,20,中年,低分,中等收入,
169,Female,36,87,27,中年,中低分,中等收入,
171,Male,40,87,13,中年,低分,中等收入,
173,Male,36,87,10,中年,低分,中等收入,
175,Female,52,88,13,中老年,低分,中等收入,
177,Male,58,88,15,中老年,低分,中等收入,
179,Male,59,93,14,中老年,低分,中等收入,
181,Female,37,97,32,中年,中低分,高收入,
183,Male,46,98,15,中年,低分,高收入,
185,Female,41,99,39,中年,中低分,高收入,
187,Female,54,101,24,中老年,中低分,高收入,
189,Female,41,103,17,中年,低分,高收入,
191,Female,34,103,23,中年,中低分,高收入,
193,Male,33,113,8,中年,低分,高收入,
195,Female,47,120,16,中年,低分,高收入,
197,Female,45,126,28,中年,中低分,高收入,
