CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100),age_label,score_label,income_label,genre_label
127,Male,43,71,35,中年,中低分,中等收入,
129,Male,59,71,11,中老年,低分,中等收入,
131,Male,47,71,9,中年,低分,中等收入,
135,Male,20,73,5,青少年,低分,中等收入,
137,Female,44,73,7,中年,低分,中等收入,
139,Male,19,74,10,青少年,低分,中等收入,
141,Female,57,75,5,中老年,低分,中等收入,
145,Male,25,77,12,青年,低分,中等收入,
147,Male,48,77,36,中年,中低分,中等收入,
149,Female,34,78,22,中年,中低分,中等收入,
151,Male,43,78,17,中年,低分,中等收入,
153,Female,44,78,20,中年,低分,中等收入,
155,Female,47,78,16,中年,低分,中等收入,
157,Male,37,78,1,中年,低分,中等收入,
159,Male,34,78,1,中年,低分,中等收入,
163,Male,19,81,5,青少年,低分,中等收入,
165,Male,50,85,26,中年,中低分,中等收入,
167,Male,42,86,20,中年,低分,中等收入,
169,Female,36,87,27,中年,中低分,中等收入,
171,Male,40,87,13,中年,低分,中等收入,
173,Male,36,87,10,中年,低分,中等收入,
175,Female,52,88,13,中老年,低分,中等收入,
177,Male,58,88,15,中老年,低分,中等收入,
179,Male,59,93,14,中老年,低分,中等收入,
181,Female,37,97,32,中年,中低分,高收入,
183,Male,46,98,15,中年,低分,高收入,
185,Female,41,99,39,中年,中低分,高收入,
187,Female,54,101,24,中老年,中低分,高收入,
189,Female,41,103,17,中年,低分,高收入,
191,Female,34,103,23,中年,中低分,高收入,
193,Male,33,113,8,中年,低分,高收入,
195,Female,47,120,16,中年,低分,高收入,
197,Female,45,126,28,中年,中低分,高收入,
199,Male,32,137,18,中年,低分,高收入,
